Make,Model,Build Year,Engine Size,Transmission,Mileage [km],Fuel,Fuel efficiency,Price [EUR]
Audi,A1,2016,1.6,Manual,25047,Diesel,76.3,10600
Audi,A4,2018,1.4,Manual,24468,Petrol,51.4,17500
Audi,A4,2017,1.4,Manual,23916,Petrol,52.3,15000
Audi,A4,2019,2,Semi-Auto,14481,Petrol,38.7,25499
Audi,A4,2019,2,Manual,8045,Petrol,38.7,25000
Audi,Q2,2019,2,Semi-Auto,6861,Petrol,33.2,31000
Audi,Q3,2019,2,Manual,6436,Diesel,42.8,28000
Audi,Q3,2019,1.5,Manual,6436,Petrol,42.2,28000
Audi,Q2,2019,1.6,Manual,4378,Diesel,49.6,21499
Audi,Q2,2019,1.5,Semi-Auto,6436,Petrol,42.2,26000
Audi,Q5,2016,3,Semi-Auto,79885,Diesel,42.2,30000
Audi,A4,2017,1.4,Manual,22635,Petrol,51.4,17000
Audi,A4,2017,1.4,Manual,37155,Petrol,52.3,14500
Audi,Q3,2017,2,Automatic,49367,Diesel,50.4,17500
Audi,A1,2016,1,Manual,29400,Petrol,67.3,10500
Audi,Q2,2017,1.6,Automatic,38156,Diesel,68.9,14800
Audi,A6,2016,2,Automatic,114739,Diesel,61.4,12000
Audi,A6,2018,2,Automatic,47428,Diesel,61.4,22000
Audi,Q5,2016,2,Automatic,97427,Diesel,47.1,17800
Audi,A6,2017,2,Automatic,67692,Diesel,61.4,19800
Audi,A7,2014,3,Automatic,89740,Diesel,44.8,19500
Audi,A1,2016,1.6,Manual,58667,Diesel,76.3,9800
Audi,A3,2016,1.4,Manual,40830,Petrol,57.6,15500
Audi,A4,2017,2,Automatic,63375,Diesel,67.3,16800
Audi,A3,2017,2,Manual,103309,Diesel,67.3,11500
Audi,A1,2017,1.4,Manual,79197,Petrol,55.4,12100
Audi,A1,2017,1.6,Manual,43731,Diesel,76.3,12700
Audi,A4,2014,2,Manual,50484,Diesel,58.9,11700
Audi,A5,2015,2,Automatic,100833,Diesel,53.3,11500
Audi,A4,2017,1.4,Manual,16092,Petrol,51.4,17400
Audi,A6,2016,2,Automatic,84543,Diesel,61.4,16000
Audi,A4,2016,2,Manual,101523,Petrol,49.6,13100
Audi,A6,2016,2,Manual,117404,Diesel,61.4,14700
Audi,A5,2017,2,Automatic,52729,Diesel,70.6,21100
Audi,Q3,2018,2,Automatic,21405,Petrol,40.4,24400
Audi,A3,2019,1.5,Manual,4428,Petrol,44.8,18750
Audi,Q3,2016,2,Manual,37501,Diesel,49.6,16500
Audi,A1,2017,1,Manual,55593,Petrol,67.3,11000
Audi,A3,2017,1.6,Manual,40960,Diesel,68.9,13400
Audi,Q2,2018,1.4,Manual,19577,Petrol,50.4,20000
Audi,A6,2015,2,Automatic,37388,Diesel,67.3,15400
Audi,Q3,2016,2,Automatic,19088,Diesel,50.4,15500
Audi,A4,2017,2,Manual,34151,Diesel,72.4,14800
Audi,A6,2015,2,Automatic,51622,Diesel,61.4,17100
Audi,Q5,2017,2,Automatic,27416,Diesel,55.4,25750
Audi,A4,2016,2,Manual,115890,Diesel,74.3,11750
Audi,A1,2017,1,Manual,56032,Petrol,67.3,11200
Audi,A1,2017,1.4,Manual,32745,Petrol,55.4,12800
Audi,A4,2017,2,Automatic,93367,Petrol,52.3,16000
Audi,A5,2017,2,Automatic,72056,Diesel,62.8,20000
Audi,A4,2014,2,Manual,97512,Diesel,67.3,11950
Audi,A4,2013,2,Manual,64357,Diesel,65.7,9400
Audi,A4,2017,2,Automatic,33551,Diesel,65.7,20000
Audi,A6,2016,2,Manual,128282,Diesel,64.2,13300
Audi,A6,2017,2,Automatic,46814,Diesel,64.2,18500
Audi,A3,2013,1.6,Manual,159194,Diesel,74.3,8300
Audi,A1,2016,1.4,Manual,36653,Petrol,58.9,13500
Audi,A5,2018,2,Manual,33519,Petrol,47.1,19800
Audi,Q3,2016,2,Automatic,46976,Diesel,55.4,15400
Audi,A4,2017,1.4,Manual,23157,Petrol,53.3,13900
Audi,A4,2018,1.4,Manual,32293,Petrol,52.3,15600
Audi,A6,2016,3,Automatic,143738,Diesel,62.8,16200
Audi,A1,2016,1,Manual,34478,Petrol,67.3,10600
Audi,A4,2016,2,Manual,73185,Diesel,70.6,14300
Audi,Q3,2016,2,Manual,52621,Diesel,60.1,14700
Audi,Q3,2018,2,Automatic,67914,Petrol,42.2,19100
Audi,A4,2017,1.4,Manual,27800,Petrol,48.7,18100
Audi,A1,2017,1,Manual,47490,Petrol,67.3,11400
Audi,A3,2014,2,Manual,70252,Diesel,67.3,11600
Audi,A4,2017,2,Automatic,72767,Diesel,62.8,17300
Audi,A6,2017,2,Manual,73195,Diesel,61.4,16400
Audi,Q5,2014,2,Manual,84098,Petrol,37.7,17100
Audi,A3,2014,1.8,Semi-Auto,65658,Petrol,50.4,11498
Audi,Q3,2014,2,Manual,106128,Diesel,49.6,11698
Audi,Q5,2014,2,Semi-Auto,76666,Petrol,35.8,18998
Audi,Q5,2017,2,Semi-Auto,44968,Petrol,40.9,25498
Audi,A4,2013,1.8,Manual,50151,Petrol,49.6,10498
Audi,A4,2013,2,Automatic,67596,Petrol,47.1,9498
Audi,A6,2015,3,Semi-Auto,90289,Diesel,50.4,19998
Audi,A6,2015,2,Semi-Auto,105929,Diesel,61.4,16798
Audi,A6,2017,3,Semi-Auto,101983,Diesel,45.6,23998
Audi,Q5,2017,3,Semi-Auto,54724,Petrol,34,36998
